8105723,7652172,7183459,6768952,6613746,6553322,6673546,6598960,6569678,6890800,7309785,7635546,7853447,7705627,7585356,7576133,7926768,8332760,8408313,8278837,8070856,7954923,8365581,7992200
7429229,7081348,6800186,6723331,6897386,7332016,7892194,8322718,8625102,9011239,9071053,9313681,9217355,8948340,8940113,8968891,9509782,10492455,10307277,9803275,9130062,8926983,9470390,9083208
8416818,8022623,7693562,7564172,7653412,8147933,9021288,9720050,10267603,10502480,10617809,10745898,10707261,10644486,10593876,10841695,10993543,11496910,11163011,10604982,9985975,9613091,10136186,9798255
9121576,8564105,8179725,8013023,8196517,8686868,9481266,10181361,10711254,10711848,10740876,10877457,10477145,10627604,10620891,10738440,11092919,11867595,11417572,10738938,10277332,9894151,10275778,9824590
9276644,8695775,8419966,8224091,8375959,8877105,9627133,10324442,10803511,11167063,11334887,10982286,10854248,10917721,10848942,11223936,11282246,11842774,11621236,11069603,10324395,9949246,10598055,10323302
9613074,9118666,8746259,8613975,8809478,9203907,10026479,10749310,10950204,11140506,11226786,11348241,11039932,10913148,11005416,10929747,11150735,11931707,11540411,10814723,10238311,9772300,10619662,10252703
9672545,8978906,8333381,8306175,8040584,8030693,8369964,8468391,8997258,9627084,9742531,9555590,9497071,9228985,9101814,9247657,9585024,10607426,10484245,10221429,9705585,9268064,9793260,9596009
8831444,8388866,8020133,7814084,7717407,7768203,7832727,7963630,8350460,8852617,9225875,9559533,9537195,9324432,9092367,9233368,9372203,10408735,10513116,10358684,10018741,9488074,9830797,9551946
8803629,8314655,8127481,8046658,8284691,8955074,10331416,11263300,11278720,11463190,11512925,11505023,11284934,11333151,11105953,11278362,11472225,12380487,12175843,11464834,10796986,10319702,10844602,10267177
9485984,9148874,8701176,8677551,8764254,9557471,10963721,11604485,11701416,11680590,11756353,11737520,11257496,11229863,11344445,11395229,11643195,12474650,12130512,11653805,10911722,10233650,10762648,10488487
9650627,9084375,8928071,8778520,8815223,9475475,10813194,11470543,11429736,11346847,11284570,11468598,11322933,11203911,11289764,11447264,11543879,12408544,12165496,11434754,10733736,10155118,10713479,10108663
9360658,8955675,8588238,8574783,8739345,9348562,10508847,11318706,11335065,11362830,11099285,11398384,11119064,11270169,11040980,11234751,11540660,12424362,12107265,11468973,10783458,10420203,10870689,10503592
9881437,9253342,8928541,8882767,8953589,9540689,10827090,11711121,11594084,11431473,11352747,11047807,10774308,10891936,10948240,10953059,11118938,12231745,11911344,11375532,10617503,10209199,10732494,10595355
9802057,9224203,8822091,8582286,8652782,8674245,9006063,9299627,9695836,10199075,10188227,10345813,9966448,9784009,9777170,9838899,9991765,11092270,11028044,10498398,10057889,9825806,10122059,10019521
9464799,8934902,8662313,8213709,8269534,8304599,8453987,8515400,8662944,9069449,9297910,9356731,9176199,8860779,8860350,9027570,9225064,10602595,10729627,10499602,10184198,9699688,10096391,9975876
9323579,8906082,8664819,8615032,8752470,9387928,11047294,11738845,11762665,11806326,11417716,11482473,11102788,11040372,11065376,11306387,11512183,12752329,12462154,12071416,11234454,10827457,11278092,11027414
10268864,9871143,9758423,9582234,9557452,10069149,11368326,12128100,12175750,11888744,11591200,11667418,11050875,11219844,11223466,11418012,11520993,12788144,12596590,12063492,11231995,10620653,11024133,10885588
10202935,9830265,9433107,9274036,9376442,9864899,11150083,12005406,11846604,11927089,11858296,11928570,11865816,11949659,11909030,11949778,12078735,12611923,12256662,11732222,11230955,10609426,11047119,10501245
9894636,9483296,9111490,8862601,9049446,9419561,10763847,11435068,11555505,11575629,11632763,11822464,11544944,11591476,11454120,11557562,11614811,12483649,12327825,11684725,10952189,10303751,10747210,10270772
9650800,9136134,8921264,8801528,8947134,9526423,10810668,11473433,11620340,11683984,11596617,11746585,11575586,11706209,11562417,11567298,11563310,12187663,11899038,11460635,10701228,10364983,10894833,10426422
10005557,9287745,8870065,8506490,8346006,8373405,8591718,9002444,9418992,9782763,10157590,10273779,10100068,9993294,9698937,9873767,10050546,10750543,10660896,10176746,9438450,9198772,9718323,9511398
8901043,8524332,8123553,7975148,7998716,8009348,8146669,8038409,8424617,9026726,9171445,9489448,9300476,8933085,8819270,8738172,9033784,10068822,10320713,10080588,9927849,9515355,9865447,9508337
8997776,8498072,8339729,8221472,8478086,9174096,10701385,11580257,11453169,11477926,11445179,11369406,11083484,11219975,11187128,11323811,11678146,12599151,12319486,11659226,10912266,10446233,10836541,10402971
9870038,9427714,9317015,9164577,9275938,9774843,11144739,11923997,11946603,11916907,11765688,11828095,11625761,11577831,11616058,11698292,11947567,12786130,12479383,11841192,11067042,10619506,11034915,10608568
10014384,9468616,9205730,8963777,9180151,9746703,11052756,11824932,11797799,11863779,11903862,12011341,11750840,11759965,11568170,11582228,11628240,12568132,12329519,11712513,11073353,10415651,10864805,10434458
9670829,9172441,8967701,8822744,9031252,9474373,10810277,11540498,11417697,11541306,11501717,11594020,11405555,11389857,11335701,11488809,11636878,12402295,12226460,11530502,10881741,10446181,10915879,10466604
9887356,9312945,9099549,9040919,9248604,9774540,11097309,11714513,11614156,11341127,11155027,11045840,10593422,10629698,10555608,10769943,11026712,11925681,11878100,11224350,10537365,10103620,10867429,10601192
9877198,9310797,8967236,8890091,8577997,8663875,8884365,9282797,9810411,10087053,10382221,10561506,10019826,9968747,9898157,9932818,10105755,10906335,10980603,10519642,9926485,9695629,10148267,9987570
9420883,9097972,8650915,8254500,8214843,8202233,8364696,8306777,8921685,9501810,9907790,10327977,10317863,9964487,9790841,9550801,9590094,10601097,10651596,10483900,10081166,9625599,10149662,9792587
9293346,8781968,8493787,8204212,8151838,8377423,9312859,9964079,10285252,10748534,10867754,11074265,10750582,10875111,10649918,10584376,10570811,11416779,11123268,10597993,9963175,9496283,10143421,9959752
9432047,9012899,8659252,8564909,8717682,9422511,10881646,11668916,11892714,11937088,12121216,12049600,11417845,11427802,11408260,11379471,11418863,12643026,12783232,12079136,11458483,10972744,11597498,11277136
10722430,10039329,10036769,9571077,9582360,10039125,11588134,12213628,12059656,12070881,11714670,11614070,11238780,11092803,11022339,11398776,11432204,12351728,12637480,12198973,11573376,11175960,11725332,11481729
11032467,10604030,10305312,10077741,10033097,10544874,11811772,12455953,12229041,12182561,11997792,11819390,11433422,11614460,11563428,11625768,11878838,12740605,12806375,12536793,11903724,11476167,11998278,11688552
11398304,10877082,10549054,10276617,10154769,10571644,11988999,12579228,12421746,12460332,12260872,12240410,11995391,12432817,12391181,12532774,12251444,12627176,12565033,12124055,11687414,11282489,12164439,11800554
11315980,10840559,10472415,10033763,9806948,9809535,9969202,10177324,10791135,11444494,11575116,11589355,11275829,11010562,10890121,10823681,10971427,11925744,12155941,11728226,11340581,10865814,11480312,11228770
10729393,10267834,9839430,9568845,9346446,9371535,9289835,9414777,9768392,10411379,10595042,10862019,10610636,10362218,10070464,9906350,10106157,11127105,11738751,11727494,11237471,10810376,11305904,10961534
10708974,10260573,9846886,9762972,9599900,10137977,11599693,12294111,12170698,12318281,12045822,11909857,11594751,11666404,11587488,11822670,11904237,12599912,13071624,12337431,11880372,11614780,12274800,11897464
